userWallet,total_txn,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_amount,avg_amount,std_amount,cluster,credit_score
0x000f4432a40560bbff1b581a8b7aded8dab80026,25,7,6,3,0,0,9.166723066864008e+20,3.6666892267456033e+19,1.7946979597421622e+20,0,200
0x000f7f22bfc28d940d4b68e13213ab17cf107790,73,26,19,13,0,0,1.5021018087849897e+26,2.0576737106643694e+24,2.132800272320016e+24,2,600
0x000f908720f9ce164d90f4fc89459fab4442907f,96,32,30,17,0,0,4.646538410248442e+21,4.840144177342127e+19,4.966955156241589e+19,1,400
0x000fbfec300959d0f2f327728a889c1f5de8e2df,8,3,1,1,0,0,1.2232822645727859e+21,1.5291028307159823e+20,1.8980385888646886e+20,0,200
0x0011730224657eb527cf736039854c3a3f140e63,4,1,1,1,0,0,1.0478e+22,2.6195e+21,2.1714143624221824e+21,0,200
0x00120ea6fdbaf057eadc1bd149f957488444e92c,4,2,1,1,0,0,2.3675989569912793e+20,5.918997392478198e+19,6.8347398813222396e+19,0,200
0x0012668072f7e0579caf7e047713d8b6d476d0db,2,2,0,0,0,0,3e+18,1.5e+18,1.414213562373095e+17,0,200
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,231,101,24,93,0,0,1.7352579900935722e+22,7.511939351054424e+19,4.153096748147045e+20,4,1000
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,1,0,0,0,0,0,5000954281830769.0,5000954281830769.0,0.0,0,200
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1,1,0,0,0,0,9.26e+16,9.26e+16,0.0,0,200
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2,2,0,0,0,0,2455392.0,1227696.0,102336.73601400427,0,200
0x0014dfac19477a83d7354e6eaac28642c1959398,36,10,6,9,0,0,3.398693979489206e+20,9.44081660969224e+18,1.2892295024626864e+19,0,200
0x001589fe1923c2118f34e4277f2ef650fcbf0161,30,19,2,0,0,0,7.256240719456009e+21,2.4187469064853363e+20,4.3269827755806386e+20,0,200
0x00159370cbe576b765a7fb2e78582e0cb563d445,19,10,7,0,0,0,2.9866254309445945e+21,1.5719081215497866e+20,3.062261868503934e+20,0,200
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,2,1,0,0,0,0,28254528.0,14127264.0,16.97056274847714,0,200
0x0016469a65facda9e86fd0ae0e9661128843c224,2,1,1,0,0,0,2.71e+16,1.355e+16,1.2091525958289962e+16,0,200
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,1,1,0,0,0,0,9.63e+16,9.63e+16,0.0,0,200
0x00183135585d70a523d61b2e43037a7138b36906,54,15,13,10,0,0,3.5954178283443627e+21,6.6581811636006715e+19,1.831482906259682e+20,1,400
0x00184e8aa1e95f491f2d9601e12b540092160ded,4,1,1,1,0,0,3.267e+20,8.1675e+19,2.387343363099103e+19,0,200
0x0018583d7654803d2c59467e10dec5f70bbe1851,72,72,0,0,0,0,260000000000460.0,3611111111117.5,4836934064297.674,1,400
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2,2,0,0,0,0,2200000.0,1100000.0,0.0,0,200
0x0018d044b946ede86b43bb3b964a45772a5abeb9,22,9,2,2,0,0,2.941604034201443e+19,1.3370927428188378e+18,3.631743489815497e+18,0,200
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,5,0,1,2,0,0,1.8736866839548536e+20,3.747373367909707e+19,8.379381587705142e+19,0,200
0x0019bd9f6142943f3a03a8a62d0001a95213f555,1,1,0,0,0,0,1e+17,1e+17,0.0,0,200
0x001b024b98ee862aa01eea595c4c16a0213d2611,2,1,1,0,0,0,4.118976563352786e+17,2.059488281676393e+17,2.912556252424148e+17,0,200
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,32,10,6,7,0,0,3.9147130995675e+19,1.2233478436148436e+18,5.393139868639957e+18,0,200
